RoleName,Arn
AmazonSSMRoleForInstancesQuickSetup,arn:aws:iam::204806963442:role/AmazonSSMRoleForInstancesQuickSetup
aws-codestar-service-role,arn:aws:iam::204806963442:role/service-role/aws-codestar-service-role
aws-ec2-spot-fleet-tagging-role,arn:aws:iam::204806963442:role/aws-ec2-spot-fleet-tagging-role
AWSAthenaSparkExecutionRole-bazhqvj0,arn:aws:iam::204806963442:role/service-role/AWSAthenaSparkExecutionRole-bazhqvj0
AWSCloud9SSMAccessRole,arn:aws:iam::204806963442:role/service-role/AWSCloud9SSMAccessRole
AWSServiceRoleForAmazonElasticFileSystem,arn:aws:iam::204806963442:role/aws-service-role/elasticfilesystem.amazonaws.com/AWSServiceRoleForAmazonElasticFileSystem
AWSServiceRoleForAmazonGuardDuty,arn:aws:iam::204806963442:role/aws-service-role/guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDuty
AWSServiceRoleForAmazonGuardDutyMalwareProtection,arn:aws:iam::204806963442:role/aws-service-role/malware-protection.guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDutyMalwareProtection
AWSServiceRoleForAmazonSSM,arn:aws:iam::204806963442:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM
AWSServiceRoleForAPIGateway,arn:aws:iam::204806963442:role/aws-service-role/ops.apigateway.amazonaws.com/AWSServiceRoleForAPIGateway
AWSServiceRoleForApplicationAutoScaling_DynamoDBTable,arn:aws:iam::204806963442:role/aws-service-role/dynamodb.application-autoscaling.amazonaws.com/AWSServiceRoleForApplicationAutoScaling_DynamoDBTable
AWSServiceRoleForApplicationInsights,arn:aws:iam::204806963442:role/aws-service-role/application-insights.amazonaws.com/AWSServiceRoleForApplicationInsights
AWSServiceRoleForAutoScaling,arn:aws:iam::204806963442:role/aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling
AWSServiceRoleForAWSCloud9,arn:aws:iam::204806963442:role/aws-service-role/cloud9.amazonaws.com/AWSServiceRoleForAWSCloud9
AWSServiceRoleForBackup,arn:aws:iam::204806963442:role/aws-service-role/backup.amazonaws.com/AWSServiceRoleForBackup
AWSServiceRoleForCodeStarNotifications,arn:aws:iam::204806963442:role/aws-service-role/codestar-notifications.amazonaws.com/AWSServiceRoleForCodeStarNotifications
AWSServiceRoleForCostOptimizationHub,arn:aws:iam::204806963442:role/aws-service-role/cost-optimization-hub.bcm.amazonaws.com/AWSServiceRoleForCostOptimizationHub
AWSServiceRoleForEC2Fleet,arn:aws:iam::204806963442:role/aws-service-role/ec2fleet.amazonaws.com/AWSServiceRoleForEC2Fleet
AWSServiceRoleForEc2InstanceConnect,arn:aws:iam::204806963442:role/aws-service-role/ec2-instance-connect.amazonaws.com/AWSServiceRoleForEc2InstanceConnect
AWSServiceRoleForEC2Spot,arn:aws:iam::204806963442:role/aws-service-role/spot.amazonaws.com/AWSServiceRoleForEC2Spot
AWSServiceRoleForElastiCache,arn:aws:iam::204806963442:role/aws-service-role/elasticache.amazonaws.com/AWSServiceRoleForElastiCache
AWSServiceRoleForElasticLoadBalancing,arn:aws:iam::204806963442:role/aws-service-role/elasticloadbalancing.amazonaws.com/AWSServiceRoleForElasticLoadBalancing
AWSServiceRoleForImageBuilder,arn:aws:iam::204806963442:role/aws-service-role/imagebuilder.amazonaws.com/AWSServiceRoleForImageBuilder
AWSServiceRoleForRDS,arn:aws:iam::204806963442:role/aws-service-role/rds.amazonaws.com/AWSServiceRoleForRDS
AWSServiceRoleForSSMQuickSetup,arn:aws:iam::204806963442:role/aws-service-role/ssm-quicksetup.amazonaws.com/AWSServiceRoleForSSMQuickSetup
AWSServiceRoleForSSO,arn:aws:iam::204806963442:role/aws-service-role/sso.amazonaws.com/AWSServiceRoleForSSO
AWSServiceRoleForSupport,arn:aws:iam::204806963442:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport
AWSServiceRoleForSystemsManagerOpsDataSync,arn:aws:iam::204806963442:role/aws-service-role/opsdatasync.ssm.amazonaws.com/AWSServiceRoleForSystemsManagerOpsDataSync
AWSServiceRoleForTrustedAdvisor,arn:aws:iam::204806963442:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor
Budget_role,arn:aws:iam::204806963442:role/Budget_role
cloudformation-test2,arn:aws:iam::204806963442:role/cloudformation-test2
CloudTrail_logIAM,arn:aws:iam::204806963442:role/service-role/CloudTrail_logIAM
ecsTaskExecutionRole,arn:aws:iam::204806963442:role/ecsTaskExecutionRole
fordeleting,arn:aws:iam::204806963442:role/fordeleting
IAM,arn:aws:iam::204806963442:role/IAM
IAMrole-S3,arn:aws:iam::204806963442:role/IAMrole-S3
lambda-api-gateway-role,arn:aws:iam::204806963442:role/lambda-api-gateway-role
lambda-basic-role,arn:aws:iam::204806963442:role/lambda-basic-role
lambda-dynamodb-role,arn:aws:iam::204806963442:role/lambda-dynamodb-role
lambda-ecr-role,arn:aws:iam::204806963442:role/lambda-ecr-role
lambda-function-test-role-q86w2ovr,arn:aws:iam::204806963442:role/service-role/lambda-function-test-role-q86w2ovr
lambda-role-vuywh3l9,arn:aws:iam::204806963442:role/service-role/lambda-role-vuywh3l9
MetricStreams-FirehosePutRecords-Q7B6DFQ4,arn:aws:iam::204806963442:role/service-role/MetricStreams-FirehosePutRecords-Q7B6DFQ4
MetricStreams-FirehoseToS3-LTNPSECD,arn:aws:iam::204806963442:role/service-role/MetricStreams-FirehoseToS3-LTNPSECD
ng-example-role-hl902p96,arn:aws:iam::204806963442:role/service-role/ng-example-role-hl902p96
private-ec2-iam-role,arn:aws:iam::204806963442:role/private-ec2-iam-role
public-ec2-iam-role,arn:aws:iam::204806963442:role/public-ec2-iam-role
role_cloudformation_test,arn:aws:iam::204806963442:role/role_cloudformation_test
role_ecr_access,arn:aws:iam::204806963442:role/role_ecr_access
S3ReplicationRole-Destination,arn:aws:iam::204806963442:role/S3ReplicationRole-Destination
S3ReplicationRole-Source,arn:aws:iam::204806963442:role/S3ReplicationRole-Source
SNSFailureFeedback,arn:aws:iam::204806963442:role/SNSFailureFeedback
SNSSuccessFeedback,arn:aws:iam::204806963442:role/SNSSuccessFeedback
SSM-access,arn:aws:iam::204806963442:role/SSM-access
Test,arn:aws:iam::204806963442:role/Test
test-iamcheck-lambda,arn:aws:iam::204806963442:role/test-iamcheck-lambda
test-iamcheck-role,arn:aws:iam::204806963442:role/test-iamcheck-role
test-latestver-role-udgx32eg,arn:aws:iam::204806963442:role/service-role/test-latestver-role-udgx32eg
test-role-6k8w485b,arn:aws:iam::204806963442:role/service-role/test-role-6k8w485b
test-role-9uk4zqwc,arn:aws:iam::204806963442:role/service-role/test-role-9uk4zqwc
test-switch,arn:aws:iam::204806963442:role/test-switch
